               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,             0.01749,           0.0080438,          0.00082615,             0.89088,             0.84642,             0.89514,             0.69583,            0.010932,           0.0052019,          0.00086997,           0.0064855,           0.0064855,           0.0064855
                  73,            0.017498,           0.0080492,          0.00087733,              0.8942,             0.84489,             0.89201,             0.69335,            0.011039,           0.0055334,           0.0010209,            0.006436,            0.006436,            0.006436
                  74,            0.017301,           0.0080226,          0.00086799,             0.89503,             0.85478,             0.89668,             0.69793,            0.011083,           0.0053199,          0.00069566,           0.0063865,           0.0063865,           0.0063865
                  75,            0.017482,           0.0079506,          0.00082014,             0.89705,             0.85393,             0.90066,             0.70239,            0.011129,           0.0055571,          0.00089148,            0.006337,            0.006337,            0.006337
                  76,            0.017106,           0.0078748,          0.00076218,              0.9155,             0.83545,             0.90289,             0.70157,            0.011058,             0.00562,          0.00070529,           0.0062875,           0.0062875,           0.0062875
                  77,            0.017183,           0.0080364,          0.00099283,             0.91118,             0.84312,             0.90138,             0.70786,            0.010669,           0.0050413,          0.00094101,            0.006238,            0.006238,            0.006238
                  78,            0.017135,           0.0079268,          0.00089418,              0.9067,             0.84118,             0.90086,              0.7064,            0.010878,           0.0052422,           0.0010601,           0.0061885,           0.0061885,           0.0061885
                  79,            0.017214,           0.0079273,          0.00090063,             0.87829,             0.85523,             0.89602,             0.70783,            0.010966,           0.0054971,           0.0015993,            0.006139,            0.006139,            0.006139
                  80,             0.01694,           0.0079137,          0.00073136,              0.9011,             0.84047,             0.90059,             0.70992,            0.010922,           0.0053999,           0.0019751,           0.0060895,           0.0060895,           0.0060895
                  81,            0.016955,            0.007788,          0.00084593,             0.91425,             0.83938,             0.90003,             0.70912,            0.010913,           0.0053459,          0.00079949,             0.00604,             0.00604,             0.00604
                  82,            0.016956,           0.0079504,          0.00085568,             0.90709,              0.8442,             0.90258,             0.70946,            0.010856,           0.0052147,          0.00097188,           0.0059905,           0.0059905,           0.0059905
                  83,            0.016796,           0.0078157,          0.00081437,             0.91199,             0.84256,             0.90314,             0.71459,            0.010793,           0.0053733,          0.00092028,            0.005941,            0.005941,            0.005941
                  84,            0.016858,           0.0078042,          0.00077846,             0.90998,             0.84625,             0.90124,             0.71293,            0.010785,           0.0053925,           0.0010138,           0.0058915,           0.0058915,           0.0058915
                  85,            0.016436,           0.0077142,           0.0006963,             0.89515,             0.86316,             0.90338,               0.716,            0.010729,           0.0052373,          0.00086354,            0.005842,            0.005842,            0.005842
                  86,            0.016491,           0.0076785,          0.00080688,             0.89715,             0.85948,             0.90235,             0.71453,            0.010831,           0.0052711,          0.00079501,           0.0057925,           0.0057925,           0.0057925
                  87,            0.016707,           0.0077333,          0.00081159,             0.88268,             0.86747,              0.8985,             0.71286,            0.010798,           0.0051274,          0.00057909,            0.005743,            0.005743,            0.005743
